,PSERM average,Library
0,0.192656889,1
1,-1.088536903,1
2,0.511780373,1
3,-0.742834911,1
4,-0.514418066,1
5,0.351261375,1
6,-0.969892003,1
7,-0.916085833,1
8,-0.356831133,1
9,-0.000181623,1
10,-0.426637985,1
11,-0.996961823,1
12,-0.119066537,1
13,0.30197393,1
14,-0.677602086,1
15,-0.840366667,1
16,-0.202955389,1
17,-1.115599057,1
18,-0.674277636,1
19,-0.733281434,1
20,0.063731987,1
21,-0.160776044,1
22,-0.462277926,1
23,0.635255888,1
24,-1.225203889,1
25,-0.54050308,1
26,-0.508386871,1
27,-0.993463534,1
28,0.071112938,1
29,-0.879689976,1
30,-0.736430502,1
31,0.217662363,1
32,-0.987969805,1
33,-0.816776598,1
34,-0.163537754,1
35,-0.111334061,1
36,-1.369772575,1
37,-0.980043181,1
38,-0.581847745,1
39,-0.252772175,1
40,0.663219701,1
41,-0.709733377,1
42,-1.044762413,1
43,-1.169340696,1
44,-0.588511003,1
45,-0.437675978,1
46,-2.082055636,1
47,0.013034301,1
48,-0.620180678,1
49,1.094625279,1
50,-1.025334178,1
51,-1.026163169,1
52,-0.425159379,1
53,0.388853309,1
54,-0.643114749,1
55,-0.250332604,1
56,-0.829146315,1
57,-1.0363843,1
58,-0.958662286,1
59,-0.427851307,1
60,-0.427624761,1
61,-1.399464862,1
62,0.152939676,1
63,-0.762840797,1
64,-0.781399091,1
65,-0.332157701,1
66,0.134758941,1
67,-0.12387787,1
68,-0.541914289,1
69,-0.548403154,1
70,-1.147727814,1
71,-0.84476112,1
72,-0.896733737,1
73,-1.356239629,1
74,-1.484703754,1
75,0.603323031,1
76,-0.372194137,1
77,-0.996159138,1
78,-0.521543277,1
79,-1.036969968,1
80,-0.925567125,1
81,-0.673542105,1
82,0.027242843,1
83,-0.78962438,1
84,-0.46070095,1
85,-0.515846853,1
86,-0.383962054,1
87,0.78656602,1
88,-1.123532585,1
89,-0.686940525,1
90,-0.185799326,1
91,-0.991326495,1
92,-0.857017293,1
93,-1.688659281,1
94,-0.54410145,1
95,-1.674734072,1
96,-0.537368938,1
97,-1.019023653,1
98,-1.22347696,1
99,-0.963920334,1
100,-1.041479702,1
101,0.332522785,1
102,0.108330164,1
103,-0.912500782,1
104,-0.30269231,1
105,-0.175940319,1
106,-0.171222684,1
107,-0.826557464,1
108,-0.546593379,1
109,-1.405232255,1
110,-1.419017257,1
111,-0.858569306,1
112,-1.566761965,1
113,0.299548865,1
114,-0.232358874,1
115,-0.245192695,1
116,-0.258802093,1
117,-1.94097145,1
118,0.074208104,1
119,0.735756706,1
120,0.898398235,1
121,0.142507027,1
122,-0.764116106,1
123,-0.72319748,1
124,-0.46957899,1
125,0.455552884,1
126,-0.476701735,1
127,-1.117283349,1
128,-1.370727883,1
129,-0.023313663,1
130,-1.016640654,1
131,0.742804261,1
132,-0.757664085,1
133,-1.052896889,1
134,-0.638186279,1
135,-0.471793387,1
136,-1.507050939,1
137,0.606408053,1
138,-0.825822963,1
139,-1.22825353,1
140,-1.151539888,1
141,0.080761908,1
142,-0.892882758,1
143,-0.920888624,1
144,-0.89657737,1
145,-0.182291446,1
146,-0.60165817,1
147,-2.379891857,1
148,-0.980042277,1
149,-0.712875979,1
150,0.302307435,1
151,-0.075545067,1
152,-0.82180986,1
153,-1.617257066,1
154,-0.293591471,1
155,0.297495608,1
156,-0.570398168,1
157,-0.85347576,1
158,-0.811870412,1
159,-1.218164464,1
160,-0.211788293,1
161,-0.526107195,1
162,-0.076048207,1
163,-0.239626297,1
164,-0.166748044,1
165,-0.207408964,1
166,0.059897595,1
167,-0.284684775,1
168,-0.466660567,1
169,0.501565906,1
170,-0.379406583,1
171,-0.627818431,1
172,-0.562613222,1
173,-0.019988481,1
174,0.960260007,1
175,-0.521942145,1
176,-0.247513446,1
177,-0.636728047,1
178,-0.401497121,1
179,-0.879376099,1
180,-1.127445787,1
181,0.718431131,1
182,-1.304446265,1
183,-0.849756806,1
184,0.353879233,1
185,-0.717048732,1
186,-0.088704652,1
187,-0.771236062,1
188,-0.854706367,1
189,-0.178059254,1
190,-0.525648807,1
191,-1.016691715,1
192,-0.947364835,1
193,-0.001727482,1
194,0.001186311,1
195,-0.366239438,1
196,-0.103737219,1
197,-0.991933225,1
198,0.386311481,1
199,0.445078376,1
200,-0.499433776,1
201,0.76774406,1
202,-0.926323498,1
203,-0.863120614,1
204,-0.639421264,1
205,-0.662252455,1
206,-0.97883609,1
207,-1.229656318,1
208,-0.261780334,1
209,0.318515411,1
210,-0.300392575,1
211,-1.343736652,1
212,0.034843571,1
213,-0.726240158,1
214,0.416904881,1
215,-0.484766952,1
216,-0.612560352,1
217,-0.909210296,1
218,-0.582573417,1
219,-0.483714095,1
220,-1.265448549,1
221,-1.373457424,1
222,-1.185603849,1
223,-1.071458284,1
224,-1.598301611,1
225,-0.813322506,1
226,0.108743878,1
227,-0.197244395,1
228,-1.85512326,1
229,-0.461401461,1
230,0.074582277,1
231,-0.196746858,1
232,-0.667924808,1
233,-0.122770591,1
234,-0.735880248,1
235,0.4586879,1
236,-0.356984806,1
237,-1.645240259,1
238,-0.055472313,1
239,-0.855744205,1
240,-0.826874091,1
241,0.783633442,1
242,0.119727826,1
243,-0.823605685,1
244,-0.982640041,1
245,-0.041472247,1
246,-0.381034893,1
247,-0.404643137,1
248,-0.523269054,1
249,0.891946352,1
250,-0.466406773,1
251,-0.34223878,1
252,-1.11918808,1
253,-1.110999129,1
254,-0.85515436,1
255,-1.113977349,1
256,-0.796713074,1
257,-0.018603086,1
258,-0.010277703,1
259,0.134231282,1
260,-1.078578737,1
261,-0.225371635,1
262,-0.535985273,1
263,-1.63281444,1
264,-0.185109226,1
265,-0.710005389,1
266,-1.236100011,1
267,-0.096209565,1
268,-0.645754575,1
269,-0.126896864,1
270,-0.038853802,1
271,0.280842229,1
272,-1.248526407,1
273,-0.376075443,1
274,0.37520772,1
275,-1.033460706,1
276,-1.269061422,1
277,-0.161005976,1
278,-0.765409222,1
279,-0.204289145,1
280,0.07864045,1
281,-1.864486635,1
282,-1.945884543,1
283,-1.732967351,1
284,-0.669245801,1
285,0.179023926,1
286,-0.919531742,1
287,-0.798648897,1
288,0.865119437,1
289,-0.775628015,1
290,-0.94829183,1
291,-0.525726153,1
292,-0.235152573,1
293,-0.95087025,1
294,-0.640579016,1
295,-1.792041685,1
296,-0.461166763,1
297,0.37243511,1
298,-0.180637201,1
299,-1.048428594,1
300,0.034894653,1
301,0.94727175,1
302,-0.200692084,1
303,0.034616072,1
304,-0.998628251,1
305,-1.07438864,1
306,-0.652439275,1
307,0.4033471,1
308,-1.723484588,1
309,-0.487890661,1
310,-1.055876605,1
311,-0.196578952,1
312,-1.607887822,1
313,-0.272996107,1
314,-0.569975184,1
315,-1.407612187,1
316,-0.609907437,1
317,-0.20825026,1
318,0.015736642,1
319,0.439624341,1
320,-2.094674374,1
321,-0.303817023,1
