,PSERM average,Library
0,-1.800974916,0
1,-2.501656979,0
2,-0.74308541,0
3,-0.623127798,0
4,-2.107253342,0
5,-2.110280686,0
6,-1.467500824,0
7,-2.817768961,0
8,-1.668682344,0
9,-1.557353175,0
10,-1.629237663,0
11,-1.15409971,0
12,-2.039628645,0
13,-2.314245698,0
14,-1.831727037,0
15,-1.892647865,0
16,-1.994251439,0
17,-1.504315684,0
18,-1.137752277,0
19,-1.010133023,0
20,-1.032975629,0
21,-1.929335738,0
22,-1.868575714,0
23,-1.818303258,0
24,-2.787721599,0
25,-2.231594413,0
26,-1.843842408,0
27,-1.616368599,0
28,-2.474315951,0
29,-2.198389153,0
30,-1.334168175,0
31,-2.583760886,0
32,-1.571433715,0
33,-1.656432144,0
34,-2.989082147,0
35,-1.706700573,0
36,-2.754681533,0
37,-1.994368114,0
38,-2.511999362,0
39,-1.876381515,0
40,-2.260869103,0
41,-2.742395377,0
42,-2.508143698,0
43,-1.084878719,0
44,-2.538109469,0
45,-1.858202134,0
46,-1.75722415,0
47,-2.499279638,0
48,-1.707106147,0
49,-2.003068748,0
50,-2.655979642,0
51,-1.557917392,0
52,-2.246678544,0
53,-1.646888583,0
54,-1.717641871,0
55,-2.521429616,0
56,-1.416001256,0
57,-1.809233837,0
58,-1.092207848,0
59,-1.488990338,0
60,-1.988390204,0
61,-1.463484995,0
62,-1.536019186,0
63,-2.028344509,0
64,-0.828155723,0
65,-2.533497491,0
66,-1.727792111,0
67,-2.187369323,0
68,-2.022854951,0
69,-3.133445696,0
70,-2.845805713,0
71,-1.689698949,0
72,-2.607976475,0
73,-1.875258025,0
74,-1.478023494,0
75,-1.442611624,0
76,-2.300366942,0
77,-1.535424681,0
78,-1.511129509,0
79,-1.629274212,0
80,-2.576936918,0
81,-2.738942769,0
82,-1.348936572,0
83,-2.131996424,0
84,-2.579677498,0
85,-1.34834416,0
86,-2.512635686,0
87,-2.261245906,0
88,-1.842204695,0
89,-1.816790702,0
90,-2.047932209,0
91,-1.497588998,0
92,-1.594193664,0
93,-2.544324194,0
94,-1.678150993,0
95,-2.169699755,0
96,-2.141784864,0
97,-2.099110001,0
98,-2.127123146,0
99,-1.460541487,0
100,-1.580088732,0
101,-1.658531926,0
102,-1.25241094,0
103,-1.388822915,0
104,-1.704308302,0
105,-1.797916406,0
106,-2.822334209,0
107,-1.388957256,0
108,-2.160816685,0
109,-2.234900625,0
110,-2.523108091,0
111,-2.293901955,0
112,-1.794613082,0
113,-1.611716406,0
114,-2.04102209,0
115,-0.830213513,0
116,-1.96594759,0
117,-2.368303296,0
118,-0.909512445,0
119,-1.618771012,0
120,-0.889640772,0
121,-2.303645383,0
122,-1.32609188,0
123,-0.898611972,0
124,-1.348092029,0
125,-2.784433522,0
126,-1.729570812,0
127,-1.749577417,0
128,-2.290752083,0
129,-1.9751467,0
130,-2.080909879,0
131,-2.142376049,0
132,-1.150285037,0
133,-1.600939522,0
134,-0.769712004,0
135,-2.811988821,0
136,-1.20537063,0
137,-1.780559958,0
138,-2.843406777,0
139,-1.913566,0
140,-1.573847172,0
141,-2.066147304,0
142,-2.583643848,0
143,-2.640615853,0
144,-2.555904017,0
145,-2.123210289,0
146,-2.594441286,0
147,-1.915893016,0
148,-2.116556309,0
149,-2.264006277,0
150,-2.042174705,0
151,-2.242412221,0
152,-1.994112697,0
153,-1.141247772,0
154,-2.195866533,0
155,-1.981179454,0
156,-2.945131048,0
157,-1.890250834,0
158,-1.827141733,0
159,-1.307162852,0
160,-2.003135178,0
161,-1.813755464,0
162,-2.232723808,0
163,-1.595080412,0
164,-1.431421701,0
165,-1.973272318,0
166,-1.279153245,0
167,-2.655733461,0
168,-2.334885719,0
169,-0.846963224,0
170,-1.497937109,0
171,-2.06443355,0
172,-2.088691892,0
173,-1.931603358,0
174,-1.285843365,0
175,-1.711737895,0
176,-0.334158308,0
177,-2.14305271,0
178,-2.149965044,0
179,-2.475430296,0
180,-2.47165866,0
181,-1.26112561,0
182,-1.518473495,0
183,-1.097705072,0
184,-0.710043956,0
185,-1.544843592,0
186,-1.303711537,0
187,-1.274345382,0
188,-1.317231716,0
189,-1.558319174,0
190,-1.374231724,0
191,-2.061413651,0
192,-1.763130938,0
193,-1.995165337,0
194,-1.842129287,0
195,-2.44538216,0
196,-1.749548549,0
197,-1.620867363,0
198,-2.524095983,0
199,-2.377895291,0
200,-1.379822842,0
201,-2.788418756,0
202,-2.662220461,0
203,-2.36790651,0
204,-2.380052233,0
205,-1.731613525,0
206,-1.533536192,0
207,-1.717671966,0
208,-1.864491522,0
209,-1.942538464,0
210,-2.688568718,0
211,-1.073227877,0
212,-1.411207684,0
213,-2.084276098,0
214,-1.914267714,0
215,-3.235101989,0
216,-1.70193296,0
217,-0.895899667,0
218,-1.254669788,0
219,-1.397387585,0
220,-2.037952723,0
221,-1.803714373,0
222,-1.779690771,0
223,-1.869852474,0
224,-2.565198223,0
225,-1.25566727,0
226,-1.683065508,0
227,-1.239411127,0
228,-0.7688368,0
229,-1.196636917,0
230,-1.79970771,0
231,-2.285660581,0
232,-3.023559791,0
233,-3.614286863,0
234,-2.03356776,0
235,-2.370800746,0
236,-1.556675075,0
237,-1.102796462,0
238,-1.860992946,0
239,-1.766918629,0
240,-1.616477153,0
241,-1.970544733,0
242,-1.749144117,0
243,-2.263591288,0
244,-1.983297029,0
245,-1.556724982,0
246,-1.827328847,0
247,-1.685540593,0
248,-2.018869436,0
249,-1.470244338,0
250,-1.72811377,0
251,-0.948671443,0
252,-1.549003453,0
253,-2.188157328,0
254,-0.983321847,0
255,-2.546600797,0
256,-2.168557872,0
257,-1.900922782,0
258,-1.631202733,0
259,-1.929116191,0
260,-2.17090904,0
261,-1.086108406,0
262,-1.398436912,0
263,-2.316351638,0
264,-1.372612891,0
265,-1.751612164,0
266,-1.832381686,0
267,-1.028754117,0
268,-1.150272979,0
269,-2.525561054,0
270,-2.052866998,0
271,-2.831570113,0
272,-1.877564659,0
273,-1.685202711,0
274,-1.663175537,0
275,-2.160493417,0
276,-2.000982678,0
277,-1.917234218,0
278,-1.840984689,0
279,-0.727526753,0
280,-1.786392195,0
281,-2.364594416,0
282,-1.957340065,0
283,-1.873807343,0
284,-1.263616373,0
285,-1.875646201,0
286,-1.888197194,0
287,-1.57095182,0
288,-2.229921901,0
289,-1.121720301,0
290,-1.848024146,0
291,-2.3181004,0
292,-1.464764162,0
293,-2.163265547,0
294,-1.473628225,0
295,-2.432900813,0
296,-1.454565265,0
297,-2.43883536,0
298,-1.512802097,0
299,-1.264099121,0
300,-2.493941458,0
301,-2.399655566,0
302,-1.27309755,0
303,-1.83645894,0
304,-2.148608725,0
305,-2.326474599,0
306,-2.397607636,0
307,-2.227249533,0
308,-1.841907246,0
309,-1.985507291,0
310,-1.725523023,0
311,-1.761626705,0
312,-1.709035468,0
313,-2.262505371,0
314,-2.637313683,0
315,-2.217474767,0
316,-2.878949352,0
317,-1.986951353,0
318,-1.930748899,0
319,-1.359943754,0
320,-2.406003849,0
321,-1.285789625,0
322,-1.133089101,0
323,-1.7896104,0
324,-1.734605693,0
325,-2.537851877,0
326,-2.367536088,0
327,-2.861829549,0
328,-1.376601424,0
329,-2.451191559,0
330,-1.356487426,0
331,-1.665519058,0
332,-1.607996177,0
333,-2.005161276,0
334,-1.542304944,0
335,-1.526079926,0
336,-2.230557783,0
337,-1.389598066,0
338,-1.387943987,0
339,-2.366288726,0
340,-1.349640088,0
341,-1.535577318,0
